Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Firehouse Museum,Hellman Quon,Pico House ,Visitor Center/ El Tranquilo Gallery
01/2014,6602,24778,1581,4486,0,2204,2961
02/2014,5029,18976,1785,4172,0,1330,2276
03/2014,8129,25231,3229,7082,70,4320,3116
04/2014,2824,26989,2129,6756,250,3277,2808
05/2014,10694,36883,3676,10858,135,4122,3987
06/2014,11036,29487,2121,5751,255,355,3133
07/2014,13490,32378,2239,5406,120,3375,3527
08/2014,9139,37680,1769,8619,250,1550,0
09/2014,5661,28473,1073,61192,1145,1335,0
10/2014,7356,27995,1979,6488,550,1518,0
11/2014,9773,25691,2404,4189,410,7769,0
12/2014,7184,18754,1319,4339,565,1140,0
01/2015,6250,20438,1823,3858,75,200,2082
02/2015,5907,15578,1558,3742,160,1075,2751
03/2015,9884,21297,2336,5390,325,3445,2748
04/2015,7254,26670,3057,7000,2000,3292,3408
05/2015,13207,34383,4009,12528,475,5042,3785
06/2015,11102,30569,2544,5377,200,4552,3444
07/2015,11072,41242,3057,6111,100,4225,4233
08/2015,12096,30700,2415,5383,50,5974,3606
09/2015,6608,20967,1398,5746,125,700,3323
10/2015,12524,29764,2237,8882,750,4158,3209
11/2015,6677,24483,2850,6848,950,9312,13750
12/2015,5967,21426,2075,4502,120,170,3367
01/2016,6587,19659,2150,4377,50,250,2940
02/2016,6955,17378,2547,3675,60,0,2288
03/2016,9979,20322,7702,6334,0,0,3839
04/2016,5113,24521,3485,6509,0,50,2797
05/2016,7757,31728,4565,9315,0,265,3408
06/2016,6751,23696,3034,4918,0,220,1876
07/2016,12188,31689,2776,5602,0,215,2951
08/2016,6245,25987,2153,5181,0,475,2723
09/2016,6977,22897,1754,4736,0,325,1221
10/2016,6282,25040,2607,6145,0,1210,1769
11/2016,6365,17760,2248,3930,0,0,1420
12/2016,5223,20107,2263,3911,0,715,973
01/2017,4929,18792,2531,3551,0,610,1325
02/2017,4493,14035,2139,3491,0,895,1049
03/2017,6271,20680,5966,5273,0,625,1366
04/2017,6685,25234,3273,5320,0,425,3070
05/2017,7556,30029,5585,8733,0,500,2582
06/2017,6818,22169,2946,4862,0,40,2372
07/2017,8675,30831,2939,5242,0,295,2771
08/2017,6212,27009,1784,5379,0,635,2182
09/2017,4607,23403,1704,4484,0,920,2130
10/2017,6097,22164,2419,4822,0,3580,0
11/2017,6757,17629,2685,4613,0,415,0
12/2017,6780,18339,2768,4448,0,605,0
